rank CASE,rank GDP,country, Confirmed, imfGDP , unGDP , gdpPerCapita , pop 
183,183,Sao Tome and Principe, -   ,"527,000,000.00","342,781,695.00","2,404.65",219.16
184,184,Tonga, -   ,"512,000,000.00","401,460,313.00","4,844.13",105.7
185,185,Micronesia, -   ,"389,000,000.00","329,895,643.00","3,381.93",115.02
186,186,Palau, -   ,"324,000,000.00","310,248,000.00","17,906.49",18.09
187,187,Marshall Islands, -   ,"228,000,000.00","183,000,000.00","3,852.00",59.19
188,188,Kiribati, -   ,"196,000,000.00","173,655,146.00","1,640.87",119.45
189,189,Nauru, -   ,"117,000,000.00","103,469,824.00","10,809.31",10.82
190,190,Tuvalu, -   ,"53,000,000.00","36,697,185.00","4,494.57",11.79
191,191,Andorra, -   , -   ,"2,858,406,626.00","36,994.84",77.27
192,192,Bermuda, -   , -   ,"6,127,341,000.00","98,386.93",62.28
193,193,British Virgin Islands, -   , -   ,"971,237,110.00","32,127.19",30.23
194,194,Cayman Islands, -   , -   ,"3,844,080,626.00","58,490.01",65.72
195,195,Cook Islands, -   , -   ,"290,194,195.00","16,522.10",17.56
196,196,Cuba, -   , -   ,"89,688,700,000.00","7,918.40","11,326.62"
197,197,French Polynesia, -   , -   ,"5,417,934,152.00","19,287.22",280.91
198,198,Palestine, -   , -   ,"13,397,100,000.00","2,626.15","5,101.41"
199,199,Greenland, -   , -   ,"2,282,927,882.00","40,213.63",56.77
200,200,North Korea, -   , -   ,"16,788,601,831.00",651.26,"25,778.82"
201,201,Liechtenstein, -   , -   ,"6,193,677,543.00","162,444.33",38.13
202,202,Monaco, -   , -   ,"6,468,000,877.00","164,823.43",39.24
203,203,Montserrat, -   , -   ,"62,051,375.00","12,430.16",4.99
204,204,Curacao, -   , -   ,"3,121,449,966.00","19,022.44",164.09
205,205,Sint Maarten, -   , -   ,"1,072,067,039.00","25,003.90",42.88
206,206,New Caledonia, -   , -   ,"9,445,714,851.00","33,085.05",285.5
207,207,Pakistan, -   , -   ,"282,506,007,859.00","1,278.93","220,892.34"
208,208,Anguilla, -   , -   ,"337,520,470.00","22,496.87",15
209,209,Sudan, -   , -   ,"82,887,395,895.00","1,890.28","43,849.26"
210,210,Syria, -   , -   ,"22,163,075,121.00","1,266.41","17,500.66"
211,211,Turks and Caicos Islands, -   , -   ,"917,550,492.00","23,698.90",38.72
